Grade Level	Month	F&P Level	F&P Level ASCII	Level
0	8	A	65	1
0	9	A	65	1
0	10	A	65	1
0	11	B	66	2
0	12	B	66	2
0	1	B	66	2
0	2	C	67	3
0	3	C	67	3
0	4	C	67	3
0	5	D	68	4
0	6	D	68	4
0	7	D	68	4
1	8	D	68	4
1	9	D	68	4
1	10	D	68	4
1	11	F	70	6
1	12	F	70	6
1	1	F	70	6
1	2	H	72	8
1	3	H	72	8
1	4	H	72	8
1	5	J	74	10
1	6	J	74	10
1	7	J	74	10
2	8	J	74	10
2	9	J	74	10
2	10	J	74	10
2	11	K	75	11
2	12	K	75	11
2	1	K	75	11
2	2	L	76	12
2	3	L	76	12
2	4	L	76	12
2	5	M	77	13
2	6	M	77	13
2	7	M	77	13
3	8	M	77	13
3	9	M	77	13
3	10	M	77	13
3	11	N	78	14
3	12	N	78	14
3	1	N	78	14
3	2	O	79	15
3	3	O	79	15
3	4	O	79	15
3	5	P	80	16
3	6	P	80	16
3	7	P	80	16
4	8	P	80	16
4	9	P	80	16
4	10	P	80	16
4	11	Q	81	17
4	12	Q	81	17
4	1	Q	81	17
4	2	R	82	18
4	3	R	82	18
4	4	R	82	18
4	5	S	83	19
4	6	S	83	19
4	7	S	83	19
5	8	S	83	19
5	9	S	83	19
5	10	S	83	19
5	11	T	84	20
5	12	T	84	20
5	1	T	84	20
5	2	U	85	21
5	3	U	85	21
5	4	U	85	21
5	5	V	86	22
5	6	V	86	22
5	7	V	86	22
6	8	V	86	22
6	9	V	86	22
6	10	V	86	22
6	11	W	87	23
6	12	W	87	23
6	1	W	87	23
6	2	X	88	24
6	3	X	88	24
6	4	X	88	24
6	5	Y	89	25
6	6	Y	89	25
6	7	Y	89	25
7	8	Y	89	25
7	9	Y	89	25
7	10	Y	89	25
7	11	Y	89	25
7	12	Y	89	25
7	1	Y	89	25
7	2	Z	90	26
7	3	Z	90	26
7	4	Z	90	26
7	5	Z	90	26
7	6	Z	90	26
7	7	Z	90	26
8	8	Z	90	26
8	9	Z	90	26
8	10	Z	90	26
8	11	Z	90	26
8	12	Z	90	26
8	1	Z	90	26
8	2	Z	90	26
8	3	Z	90	26
8	4	Z	90	26
8	5	Z	90	26
8	6	Z	90	26
8	7	Z	90	26
